Add a gift message to my order,Aggiungi un messaggio al mio ordine
Save this card for future use,Salva questa carta per usi futuri
Card Number,Numero di Carta di Credito
Save this account for future use,Salva questo account per usi futuri
Loading payment method...,Caricamento metodo di pagamento ...
User did not enter a payment method,Non hai inserito un metodo di pagamento
Please wait, processing your order,Per piacere attendi, stiamo lavorando il tuo ordine
View shopping bag,vai al carrello
1 items in the shopping bag,1 articoli nel carrello
0 items in the shopping bag,0 articoli nel carrello
%s items in the shopping bag,%s articoli nel carrello
"Unfortunately, your shopping bag is empty.","Sfortunatamente, il tuo carrello e vuoto."
Go to Cart,Vai al Carrello
Search,cerca
Search,cerca
Privacy,Vita privata
Share,Condividi
Write A Review,Scrivi una recensione
Close A Review,Chiudi le recensioni
Item,Articolo
Update Qty & Addresses,Aggiornamento Quantità & indirizzi
Last ordered items,Ultimi articoli ordinati
Go to your wishlist,Vai alla wishlist
My wishlist on Timeforyourskin,La mia lista dei desideri su Timeforyourskin
My Wishlist ,La mia lista 
Credit Card,Carta di Credito
Email Address,Indirizzo email
Password,parola d'ordine
Sign up for new relase products and promotions,Iscriviti per i nuovi prodotti e promozioni FUORIUSCITA


