"Add new LDV range","Aggiungi nuovo intervallo di LDV"
"Category Unique Code","Codice Univoco Categoria"
"Created At","Data Creazione"
"created_at","Data creazione"
"From number (included)","Da numero (incluso)"
"Generate LDV","Genera LDV"
"Generate","Genera"
"Item does not exist","Elemento inesistente"
"Level","Livello"
"locationID","ID localita'"
"Menu Item","Elemento Menu"
"Notification level","Livello di riserva"
"phoneExtension","Interno"
"residentialAddressIndicator","Indicatore residenziale"
"Sales","Vendite"
"Sender Reference","Riferimento Mittente"
"Shipment Increment Id","Progressivo Spedizione"
"Sort order","Ordine"
"Status","Stato"
"taxIdentificationNumber","Id tasse"
"Title","Titolo"
"Tnt failed.","Tnt : errore"
"Tnt TEST failed.","UnitTest TNT Fallito"
"To number (included)","A numero (incluso)"
"Type","Tipo"
"Url Key","Chiave Url"
"Usable","Utilizzabile"
"Used","Usato"
"used_at","Data utilizzo"
"Array('S','M','T','W','T','F','S')","Array('D','L','M','M','G','V','S')"
"January","Gennaio"
"February","Febbraio"
"March","Marzo"
"April","Aprile"
"May","Maggio"
"June","Giugno"
"July","Luglio"
"August","Agosto"
"September","Settembre"
"October","Ottobre"
"November","Novembre"
"December","Dicembre"
"Monday","Lunedì"
"Tuesday","Martedì"
"Wednesday","Mercoledì"
"Thursday","Giovedì"
"Friday","Venerdì"
"Saturday","Sabato"
"Sunday","Domenica"
"Ship to TNT Delivery Point","Spedisci ad un Punto di Consegna TNT"
"Select a TNT Delivery Point","Seleziona un Punto di Consegna TNT"
"Search by City, Postcode or Name...","Cerca per Città, CAP o Nome..."
"No result found...","Nessun risultato trovato..."
"There has been an error updating TNT Delivery Points!","C'è stato un errore aggiornando i Punti di Consegna TNT!"
"TNT Delivery Points URL was <a href=""%s"" target=""_blank"">%s</a>. Please check if URL is still valid.","L'URL dei Punti di Consegna TNT era <a href=""%s"" target=""_blank"">%s</a>. Per favore, controlla che l'URL sia ancora valido."
"Use as Delivery Point","Usa come Punto di Consegna"
"_tnt_locator_info_","Potrai ritirare i tuoi prodotti in un Punto di Consegna TNT"
